Which_Iphone,Extracted_Model,Price,Memory(GB),battery_percentage,State,Seller,City,Region,Model_Series,Model_Type
13,13,230000,128,100,Б/у,Частное лицо,Павлодар,Павлодарская область,13,
13,13 pro,220000,128,89,Б/у,Частное лицо,Уральск,Западно-Казахстанская область,13,pro
12,12 mini,125000,128,82,Б/у,Частное лицо,Шымкент,Туркестанская область,12,mini
13,13,180000,256,81,Б/у,Частное лицо,Туркестан,Туркестанская область,13,
12,12 mini,160000,128,84,Б/у,Частное лицо,Актау,Мангистауская область,12,mini
13,13,260000,128,88,Новый,Бизнес,Актобе,Актюбинская область,13,
13,13,175000,128,88,Б/у,Частное лицо,Алматы,Алматинская область,13,
13,13 pro max,300000,256,88,Б/у,Частное лицо,Актау,Мангистауская область,13,pro max
14,14,250000,128,88,Б/у,Бизнес,Актобе,Актюбинская область,14,
13,13,210000,128,89,Б/у,Частное лицо,Нура,Актюбинская область,13,
13,13 pro,180000,128,88,Б/у,Частное лицо,Талдыкорган,Алматинская область,13,pro
12,12 pro max,200000,128,76,Б/у,Частное лицо,Талас,Жамбылская область,12,pro max
14,14,195000,128,90,Б/у,Частное лицо,Караганда,Карагандинская область,14,
15,15,335000,128,100,Новый,Бизнес,Тараз,Жамбылская область,15,
14,14,240000,128,100,Б/у,Частное лицо,Астана,Акмолинская область,14,
14,14 pro,325000,256,88,Б/у,Бизнес,Астана,Акмолинская область,14,pro
12,12 pro,165000,128,84,Б/у,Бизнес,Караганда,Карагандинская область,12,pro
13,13 mini,260000,128,100,Новый,Частное лицо,Алматы,Алматинская область,13,mini
12,12 pro,270000,128,84,Б/у,Частное лицо,Победа,Костанайская область,12,pro
12,12 pro max,320000,128,86,Б/у,Частное лицо,Абай,Алматинская область,12,pro max
15,15 pro,430000,128,100,Новый,Бизнес,Алматы,Алматинская область,15,pro
12,12,200000,64,86,Б/у,Частное лицо,Астана,Акмолинская область,12,
14,14 pro max,340000,256,87,Б/у,Бизнес,Астана,Акмолинская область,14,pro max
14,14,210000,128,91,Б/у,Частное лицо,Усть-Каменогорск,Восточно-Казахстанская область,14,
14,14 pro,420000,256,87,Б/у,Частное лицо,Алматы,Алматинская область,14,pro
13,13,230000,128,88,Б/у,Частное лицо,Арна,Алматинская область,13,
